game_pk,game_date,pitcher_id,player,Role,Metric,Baseline,Candidate,Actual,Baseline_Error,Candidate_Error,Candidate_Win,Candidate_Tie,Role_Workload_Version
822942,2026-08-14,571927,Steven Matz,LOW_RECENT_EXPOSURE,PITCHES,70.34567183313493,75.34567183313493,21.0,49.34567183313493,54.34567183313493,False,False,starter-role-workload-v1
822942,2026-08-14,571927,Steven Matz,LOW_RECENT_EXPOSURE,BF,17.94911166053409,19.18058256659128,3.0,14.94911166053409,16.18058256659128,False,False,starter-role-workload-v1
822942,2026-08-14,571927,Steven Matz,LOW_RECENT_EXPOSURE,OUTS,12.553371217387726,13.60402608131526,3.0,9.553371217387726,10.60402608131526,False,False,starter-role-workload-v1
824239,2026-08-15,641743,Anthony Kay,RAMPING,PITCHES,86.36043861509648,89.90550336539282,86.0,0.3604386150964842,3.9055033653928177,False,False,starter-role-workload-v1
824239,2026-08-15,641743,Anthony Kay,RAMPING,BF,22.44431205304602,23.494479902747656,22.0,0.4443120530460192,1.4944799027476563,False,False,starter-role-workload-v1
824239,2026-08-15,641743,Anthony Kay,RAMPING,OUTS,15.35651957394489,16.528691640163593,16.0,-0.6434804260551097,0.5286916401635935,True,False,starter-role-workload-v1
823588,2026-08-15,695418,Brad Lord,LOW_RECENT_EXPOSURE,PITCHES,71.74568406495187,76.74568406495187,44.0,27.745684064951874,32.745684064951874,False,False,starter-role-workload-v1
823588,2026-08-15,695418,Brad Lord,LOW_RECENT_EXPOSURE,BF,18.140387418251965,19.371858324309155,7.0,11.140387418251965,12.371858324309155,False,False,starter-role-workload-v1
823588,2026-08-15,695418,Brad Lord,LOW_RECENT_EXPOSURE,OUTS,13.079417286677232,14.130072150604768,2.0,11.079417286677232,12.130072150604768,False,False,starter-role-workload-v1
824400,2026-08-15,676282,Joey Cantillo,LOW_RECENT_EXPOSURE,PITCHES,75.48380486293506,80.48380486293506,87.0,-11.51619513706494,-6.5161951370649405,True,False,starter-role-workload-v1
824400,2026-08-15,676282,Joey Cantillo,LOW_RECENT_EXPOSURE,BF,19.242839261054385,20.47431016711157,20.0,-0.7571607389456148,0.4743101671115717,True,False,starter-role-workload-v1
824400,2026-08-15,676282,Joey Cantillo,LOW_RECENT_EXPOSURE,OUTS,12.947579911550342,13.998234775477878,18.0,-5.052420088449658,-4.0017652245221225,True,False,starter-role-workload-v1
823344,2026-08-16,663776,Patrick Sandoval,RAMPING,PITCHES,84.79572688936321,88.34079163965954,89.0,-4.204273110636791,-0.6592083603404575,True,False,starter-role-workload-v1
823344,2026-08-16,663776,Patrick Sandoval,RAMPING,BF,23.22626764825833,24.27643549795997,24.0,-0.7737323517416712,0.27643549795996947,True,False,starter-role-workload-v1
823344,2026-08-16,663776,Patrick Sandoval,RAMPING,OUTS,15.301714143311305,16.473886209530008,12.0,3.3017141433113046,4.473886209530008,False,False,starter-role-workload-v1
824880,2026-08-16,647336,Michael Soroka,LOW_RECENT_EXPOSURE,PITCHES,75.40186936312996,80.40186936312996,80.0,-4.598130636870039,0.40186936312996124,True,False,starter-role-workload-v1
824880,2026-08-16,647336,Michael Soroka,LOW_RECENT_EXPOSURE,BF,20.45262731456324,21.684098220620427,24.0,-3.547372685436759,-2.3159017793795726,True,False,starter-role-workload-v1
824880,2026-08-16,647336,Michael Soroka,LOW_RECENT_EXPOSURE,OUTS,15.58736268906636,16.638017552993897,17.0,-1.4126373109336399,-0.3619824470061026,True,False,starter-role-workload-v1
822939,2026-08-17,663556,Shane McClanahan,LOW_RECENT_EXPOSURE,PITCHES,72.87509859656204,77.87509859656204,57.0,15.87509859656204,20.87509859656204,False,False,starter-role-workload-v1
822939,2026-08-17,663556,Shane McClanahan,LOW_RECENT_EXPOSURE,BF,19.775857349575794,21.007328255632984,14.0,5.775857349575794,7.007328255632984,False,False,starter-role-workload-v1
822939,2026-08-17,663556,Shane McClanahan,LOW_RECENT_EXPOSURE,OUTS,14.642784292020048,15.693439155947583,10.0,4.642784292020048,5.693439155947583,False,False,starter-role-workload-v1
824725,2026-08-17,683352,Mitch Bratt,RAMPING,PITCHES,80.72325607348307,84.2683208237794,65.0,15.723256073483071,19.268320823779405,False,False,starter-role-workload-v1
824725,2026-08-17,683352,Mitch Bratt,RAMPING,BF,21.13121632632747,22.181384176029106,16.0,5.131216326327468,6.1813841760291055,False,False,starter-role-workload-v1
824725,2026-08-17,683352,Mitch Bratt,RAMPING,OUTS,15.268059117499668,16.44023118371837,9.0,6.268059117499668,7.440231183718371,False,False,starter-role-workload-v1
