game_date,game_pk,pitcher_id,player,team,team_id,catcher_id,catcher_name,catcher_source,catcher_confirmed,catcher_captured_at_utc,catcher_factor,candidate_authority,actual_strikeouts,actual_pitches,actual_batters_faced,actual_outs,capture_version
2026-08-12,823672,805673,Zebby Matthews,MIN,142,605170.0,Victor Caratini,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,4.0,94.0,22.0,15.0,catcher-context-v1-report-only
2026-08-12,823017,681517,Kyle Leahy,STL,138,699625.0,Jimmy Crooks,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,81.0,20.0,15.0,catcher-context-v1-report-only
2026-08-12,824967,656876,Drew Rasmussen,TBR,139,689414.0,Liam Hicks,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,84.0,21.0,15.0,catcher-context-v1-report-only
2026-08-12,825047,518876,Merrill Kelly,ARI,109,672515.0,Gabriel Moreno,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,71.0,23.0,15.0,catcher-context-v1-report-only
2026-08-12,823263,669160,Dustin May,MIL,158,596142.0,Gary Sánchez,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,83.0,25.0,21.0,catcher-context-v1-report-only
2026-08-12,824967,678022,Jack Perkins,ATH,133,661531.0,Brian Serven,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,97.0,27.0,15.0,catcher-context-v1-report-only
2026-08-12,825047,663372,Ryan Feltner,COL,115,664954.0,Brett Sullivan,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,93.0,24.0,15.0,catcher-context-v1-report-only
2026-08-12,823187,605288,Adrian Houser,SFG,137,701852.0,Drew Cavanaugh,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,5.0,73.0,19.0,18.0,catcher-context-v1-report-only
2026-08-12,823263,592662,Robbie Ray,SDP,135,669134.0,Luis Campusano,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,4.0,84.0,17.0,12.0,catcher-context-v1-report-only
2026-08-12,823187,687911,Bryan King,HOU,117,543877.0,Christian Vázquez,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,1.0,19.0,4.0,2.0,catcher-context-v1-report-only
2026-08-12,824241,656492,Foster Griffin,CLE,114,595978.0,Austin Hedges,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,83.0,21.0,15.0,catcher-context-v1-report-only
2026-08-12,824241,664285,Framber Valdez,DET,116,693307.0,Dillon Dingler,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,102.0,29.0,17.0,catcher-context-v1-report-only
2026-08-12,823833,669387,Carmen Mlodzinski,PIT,134,680779.0,Henry Davis,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,1.0,59.0,15.0,7.0,catcher-context-v1-report-only
2026-08-12,823833,676083,Janson Junk,MIA,146,691788.0,Joe Mack,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,81.0,23.0,18.0,catcher-context-v1-report-only
2026-08-12,822698,656849,David Peterson,CHC,112,608348.0,Carson Kelly,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,6.0,90.0,27.0,15.0,catcher-context-v1-report-only
2026-08-12,823511,682243,Bryce Miller,SEA,136,663728.0,Cal Raleigh,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,5.0,89.0,25.0,18.0,catcher-context-v1-report-only
2026-08-12,823511,701542,Will Warren,NYY,147,669224.0,Austin Wells,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,81.0,21.0,12.0,catcher-context-v1-report-only
2026-08-12,822779,624133,Ranger Suarez,BOS,111,668939.0,Adley Rutschman,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,81.0,21.0,15.0,catcher-context-v1-report-only
2026-08-12,822779,667755,José Soriano,TOR,141,672386.0,Alejandro Kirk,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,4.0,90.0,22.0,18.0,catcher-context-v1-report-only
2026-08-12,824883,804267,Zac Thornton,NYM,121,620443.0,Luis Torrens,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,80.0,24.0,18.0,catcher-context-v1-report-only
